# Échantillon « réanimation » — 20 août 2026, combats 1616030353 et 1584017389
#
# Deux clients depuis la même installation launcher Ankama. PJ3 et PJ4.
# Noms de personnages anonymisés, ID d'entité tronqués.
#
# Repassé dans la liste blanche de canaux de `scrub_chat` (tools/capture-multi-account.sh) :
# 15 lignes de chat public — Commerce, Recrutement, Communauté, Proximité,
# Politique — laissées passer par l'ancienne liste noire ont été retirées.
#
# Ce que cet échantillon établit (capturé en résolvant #14, matière pour #10) :
#  - la RÉANIMATION est tracée DEUX FOIS : `PJ3: est réanimé` (avec deux-points)
#    puis `PJ3 est ressuscité !` (sans), 565 ms d'écart, chacune dupliquée ;
#  - `est hors-combat !` est la forme des MONSTRES *et* des INVOCATIONS
#    (`Phorreur Adulte est hors-combat !`), `est KO !` celle des personnages :
#    la séparation suit exactement `isControlledByAI` ;
#  - un personnage peut TOMBER AVANT D'AVOIR JOUÉ (1584017389 : les monstres
#    jouent en premier, PJ3 tombe sans un seul tour) ;
#  - un combat entier peut ne contenir AUCUNE frontière (1584017389, dans aucun
#    canal) parce qu'il ne contient aucun tour TERMINÉ — le combat finit dans
#    le tour du seul personnage debout. Contrôle sur 1616030353 : 3 frontières
#    pour exactement 3 tours terminés. La règle de #13 tient ;
#  - il existe des passifs de DÉBUT de tour (`PJ4: 1 PA (Force vitale)`),
#    distinguables des passifs de fin par le côté de la frontière où ils
#    tombent — troisième canal d'attribution, mais dépendant de la classe.
21:46:45,367 - [Information (combat)] PJ3: Convalescent (Niv. 1)
21:46:45,385 - [Information (combat)] PJ3 est ressuscité !
21:46:45,392 - [Information (combat)] PJ4: Propagateur (+46 Niv.)
21:46:45,394 - [Information (combat)] PJ4: -1 PV (Neutre) (Ponction)
21:46:45,395 - [Information (combat)] PJ3: +117 PV (Neutre) (Intégrité)
21:46:45,396 - [Information (combat)] PJ4: Propagateur (+92 Niv.)
21:46:45,398 - [Information (combat)] PJ4: -11 PV (Neutre) (Ponction)
21:46:45,399 - [Information (combat)] PJ3: 82 Armure (Distribution)
21:46:45,400 - [Information (combat)] PJ4: Propagateur (+138 Niv.)
21:46:45,402 - [Information (combat)] PJ4: -25 PV (Neutre) (Ponction)
21:46:45,403 - [Information (combat)] PJ3: 178 Armure (Distribution)
21:46:45,404 - [Information (combat)] PJ3: Convalescent (Niv. 1)
21:46:55,973 - [Information (combat)] PJ4 lance le sort Corro-soin
21:46:55,997 - [Information (combat)] PJ4 lance le sort Corro-soin
21:46:57,385 - [Information (combat)] Kamarachnide: -1 993 PV (Feu)
21:46:57,394 - [Information (combat)] Kamarachnide: -1 993 PV (Feu)
21:46:57,780 - [Information (combat)] Kamarachnide: -1 752 PV (Lumière) (Feu) (Propagateur)
21:46:57,821 - [Information (combat)] Kamarachnide: Marque amil (+1 Niv.)
21:46:57,893 - [Information (combat)] Kamarachnide: -1 752 PV (Lumière) (Feu) (Propagateur)
21:46:57,894 - [Information (combat)] Kamarachnide: Marque amil (+1 Niv.)
21:47:01,496 - [Information (combat)] PJ4 lance le sort Vivification
21:47:01,497 - [Information (combat)] PJ4 lance le sort Vivification
21:47:02,499 - [Information (combat)] Kamarachnide: -1 242 PV (Eau)
21:47:02,563 - [Information (combat)] Kamarachnide: -1 242 PV (Eau)
21:47:02,564 - [Information (combat)] PJ3: +124 PV (Neutre) (Marque amil)
21:47:02,566 - [Information (combat)] PJ4: Propagateur (+11 Niv.)
21:47:02,567 - [Information (combat)] PJ4: -12 PV (Neutre) (Ponction)
21:47:02,567 - [Information (combat)] PJ3: 88 Armure (Distribution)
21:47:02,601 - [Information (combat)] PJ3: +124 PV (Neutre) (Marque amil)
21:47:02,602 - [Information (combat)] PJ4: Propagateur (+11 Niv.)
21:47:02,603 - [Information (combat)] PJ4: -12 PV (Neutre) (Ponction)
21:47:02,604 - [Information (combat)] PJ3: 88 Armure (Distribution)
21:47:03,698 - [Information (combat)] PJ4 lance le sort Vivification
21:47:03,701 - [Information (combat)] PJ4 lance le sort Vivification
21:47:03,702 - [Information (jeu)] PJ3 a gagné un niveau (total : 113)
21:47:03,704 - [Information (jeu)] Vous avez ramassé 5x Plâjeton .
21:47:03,705 - [Information (jeu)] Vous avez 1 nouvel objet en attente : Dorure de Cuivre.
21:47:04,607 - [Information (combat)] Kamarachnide: -1 241 PV (Eau)
21:47:04,608 - [Information (combat)] Kamarachnide: -1 241 PV (Eau)
21:47:04,698 - [Information (jeu)] Le challenge "Barbare" a échoué.
21:47:04,781 - [Information (jeu)] Le challenge "Barbare" a échoué.
21:47:05,003 - [Information (combat)] Kamarachnide: -134 PV (Lumière) (Feu) (Propagateur)
21:47:05,005 - [Information (combat)] PJ3: +124 PV (Neutre) (Marque amil)
21:47:05,006 - [Information (combat)] PJ4: Propagateur (+11 Niv.)
21:47:05,007 - [Information (combat)] PJ4: -12 PV (Neutre) (Ponction)
21:47:05,007 - [Information (combat)] PJ3: 88 Armure (Distribution)
21:47:05,008 - [Information (jeu)] Vous avez gagné 23 kamas.
21:47:05,014 - [Information (combat)] PJ4 : +2 345 620 points d'XP.  Prochain niveau dans : 12 443 820 694.
21:47:05,017 - [Information (combat)] Combat terminé, cliquez ici pour rouvrir l'écran de fin de combat. 
21:47:05,092 - [Information (combat)] Kamarachnide: -134 PV (Lumière) (Feu) (Propagateur)
21:47:05,094 - [Information (combat)] PJ3: +124 PV (Neutre) (Marque amil)
21:47:05,095 - [Information (combat)] PJ4: Propagateur (+11 Niv.)
21:47:05,096 - [Information (combat)] PJ4: -12 PV (Neutre) (Ponction)
21:47:05,096 - [Information (combat)] PJ3: 88 Armure (Distribution)
21:47:05,099 - [Information (combat)] PJ3 : +2 747 822 points d'XP.  +1 niveau. Prochain niveau dans : 29 979 688.
21:47:05,101 - [Information (combat)] Combat terminé, cliquez ici pour rouvrir l'écran de fin de combat. 
21:47:09,260 - [Information (jeu)] Vous avez 1 nouvel objet en attente : Poudre.
21:47:09,291 - [Information (jeu)] Vous avez détruit 1 objet et récupéré 1 ressource
